AuftragNr;Datum;KundenNr;ArtikelNr;Menge;Listenpreis;Rabatt
AU-7023;01.06.2023;F-02;A-203;15;5,54;0,03
AU-7024;29.05.2023;F-01;A-202;20;6,37;
AU-7025;16.06.2023;F-05;A-206;31;2,85;0,08
AU-7026;05.05.2023;F-05;A-208;6;181,67;0,03
AU-7027;23.06.2023;F-01;A-204;4;314,21;0,12
AU-7028;20.06.2023;F-07;;8;223,32;0,03
AU-7029;30.06.2023;F-07;A-201;18;3,07;0,03
AU-7030;08.04.2023;F-01;A-203;12;5,52;
AU-7031;29.06.2023;F-07;A-202;39;7,67;
AU-7032;03.04.2023;F-03;A-207;29;11,06;0,03
AU-7033;14.06.2023;F-02;A-209;8;43,78;0,03
AU-7034;22.05.2023;F-04;A-209;3;39,24;
AU-7035;29.04.2023;F-04;A-206;35;3,49;
AU-7036;15.04.2023;F-08;A-205;3;120,15;
AU-7037;28.04.2023;F-03;A-201;37;3,09;0,08
AU-7038;30.06.2023;F-08;A-209;1;37,06;
AU-7039;10.05.2023;F-06;A-206;17;3,08;
AU-7040;30.06.2023;F-02;A-209;6;43,94;
AU-7041;11.06.2023;F-06;A-207;27;11,31;0,08
AU-7042;21.05.2023;F-05;A-201;9;3,16;0,08
AU-7043;10.06.2023;F-01;A-205;5;116,23;0,08
AU-7044;30/06/2023;F-06;A-207;49;12,74;0,03
AU-7045;01.05.2023;F-02;A-201;2;3,48;
AU-7046;21.06.2023;F-02;A-203;1;5,62;
AU-7047;11.06.2023;F-01;A-204;4;328,41;
AU-7048;02.05.2023;F-04;A-201;4;3,73;0,03
