AuftragNr;Datu  m;KundenNr;ArtikelNr;Mengen;Listenpreis;Rabatt
AU-7074;19.11.2023;F-08;A-208;5;227,02;0,03
AU-7075;06.11.2023;F-04;A-200;15;4,74;0,03
AU-7076;05.11.2023;F-01;A-203;21;5,85;
AU-7077;27.12.2023;F-06;A-206;42;3,51;0,12
AU-7078;05.10.2023;F-07;A-205;8;118,83;0,08
AU-7079;26.12.2023;F-01;A-200;37;4,84;0,08
AU-7080;23.10.2023;F-03;A-206;29;3,39;
AU-7081;24.10.2023;F-02;A-204;7;331,51;0,12
AU-7082;14/12/2023;F-04;A-207;20;12,39;
AU-7083;05.11.2023;F-02;A-202;36;7,64;
AU-7084;06.10.2023;F-06;A-202;2;7,88;0,12
AU-7085;07.10.2023;F-02;A-200;50;4,58;
AU-7086;12.12.2023;F-02;A-208;8;200,92;0,08
AU-7087;01.10.2023;F-01;A-204;1;287,28;0,03
AU-7088;06.11.2023;F-08;A-208;4;219,77;
AU-7089;23.12.2023;F-02;A-202;2;7,01;
AU-7090;26.12.2023;F-07;A-202;32;7,16;
AU-7091;29.11.2023;F-05;A-200;47;4,82;0,12
AU-7092;05.10.2023;F-08;A-208;4;230,18;
AU-7093;20.12.2023;F-07;A-206;43;3,21;
AU-7094;22.10.2023;F-03;A-201;19;2,99;0,12
AU-7095;28.11.2023;F-05;A-201;49;3,23;
AU-7096;04.11.2023;F-02;A-207;48;10,36;0,03
AU-7097;18.10.2023;F-03;A-204;5;325,84;
AU-7098;13.12.2023;F-07;;42;6,34;0,12
AU-7099;28.10.2023;F-01;A-206;46;3,19;0,08
