BestellNr;Datum;KundenNr;ProduktNr;Menge;Einzelpreis;Rabatt
B-50072;01.02.2023;K-003;P-1009;5;221,11;
B-50073;25.04.2023;K-005;P-1009;6;264,81;
B-50074;27.03.2023;K-005;P-1009;5;238,04;0,05
B-50075;12.01.2023;K-005;P-1005;14;28,91;
B-50076;18.04.2023;K-003;P-1008;1;1.930,95;
B-50077;17.04.2023;K-005;;6;28,27;0,05
B-50078;20.01.2023;K-005;P-1007;2;22,29;
B-50079;17.08.2023;K-003;P-1006;19;14,10;
B-50080;31.08.2023;K-005;P-1002;5;1.686,16;
B-50081;13.02.2023;K-003;P-1007;13;21,96;
B-50082;06.04.2023;K-005;P-1004;2;749,92;
B-50083;28.04.2023;K-007;P-1002;2;1.810,35;0,15
B-50084;10.10.2023;K-007;P-1008;2;2.399,90;0,15
B-50085;2023-05-21;K-007;P-1003;6;1.228,04;
B-50086;08.09.2023;K-005;P-1003;2;1.139,02;
B-50087;19.03.2023;K-007;P-1010;13;10,55;0,15
B-50088;17.01.2023;K-003;P-1003;1;1.283,16;0,10
B-50089;29.07.2023;K-007;P-1007;13;19,46;
B-50090;17.03.2023;K-003;P-1003;3;1.086,79;
B-50091;16.04.2023;K-007;P-1003;2;1.230,24;
B-50092;13.11.2023;K-005;P-1001;1;622,89;
B-50093;24.04.2023;K-007;P-1004;5;835,21;
B-50094;26.12.2023;K-003;P-1005;20;30,07;
B-50095;15.09.2023;K-005;P-1006;9;16,50;0,15
B-50096;21.02.2023;K-007;P-1002;6;1.700,42;
B-50097;2023-04-25;K-007;P-1007;24;20,55;0,05
B-50098;27.08.2023;K-007;P-1007;22;20,63;
B-50099;19.11.2023;K-005;P-1008;4;2.165,78;0,10
B-50100;25.05.2023;K-007;P-1006;9;16,92;0,05
B-50101;25.05.2023;K-003;P-1002;2;2.058,15;0,15
B-50102;12.08.2023;K-007;P-1006;17;13,71;
B-50103;12.01.2023;K-005;P-1004;5;779,84;0,15
B-50104;06.08.2023;K-007;P-1005;3;27,23;
B-50105;30.08.2023;K-005;P-1007;7;23,23;
B-50106;21.05.2023;K-003;P-1009;2;272,82;
