AuftragNr;Datum;KundenNr;ArtikelNr;Menge;Listenpreis;Rabatt
AU-7001;27.02.2023;F-03;A-201;39;3,07;0,12
AU-7002;01.02.2023;F-07;A-202;49;7,76;
AU-7003;18.03.2023;F-05;A-202;47;6,71;
AU-7004;15.01.2023;F-04;A-206;23;3,48;
AU-7005;19.02.2023;F-02;A-200;34;5,39;
AU-7006;06.01.2023;F-07;A-203;42;6,51;0,03
AU-7007;11.01.2023;F-01;A-208;4;205,97;0,08
AU-7008;06.03.2023;F-06;A-200;1;4,53;
AU-7009;23.01.2023;F-07;A-201;27;3,58;
AU-7010;08.03.2023;F-07;A-208;8;219,23;0,12
AU-7011;11.02.2023;F-02;A-206;33;3,10;
AU-7012;19/02/2023;F-08;A-201;38;3,74;0,03
AU-7013;25.02.2023;F-02;A-202;34;7,74;0,12
AU-7014;04.01.2023;F-07;A-209;5;43,44;0,08
AU-7015;15.01.2023;F-04;A-202;42;6,82;0,12
AU-7016;24.02.2023;F-01;A-205;4;101,20;
AU-7017;15.01.2023;F-01;A-208;4;203,06;
AU-7018;25.02.2023;F-07;;24;6,43;
AU-7019;10.02.2023;F-07;A-201;41;3,17;
AU-7020;23.02.2023;F-07;A-208;1;203,29;
AU-7021;17.01.2023;F-06;A-208;2;182,95;0,12
AU-7022;11.01.2023;F-02;A-204;7;288,18;
