BestellNr;Datum;KundenNr;ProduktNr;Menge;Einzelpreis;Rabatt
B-50001;28.06.2023;K-008;P-1009;4;252,80;
B-50002;2023-05-17;K-008;P-1008;5;2.296,72;0,10
B-50003;23.08.2023;K-008;P-1008;5;2.119,65;0,10
B-50004;03.12.2023;K-002;P-1005;16;31,19;0,05
B-50005;07.03.2023;K-008;P-1005;5;26,25;0,10
B-50006;26.11.2023;K-002;P-1008;6;2.128,13;0,05
B-50007;22.06.2023;K-002;P-1001;4;670,68;0,15
B-50008;18.12.2023;K-008;P-1005;4;32,16;0,05
B-50009;18.11.2023;K-008;P-1010;5;12,45;
B-50010;09.05.2023;K-008;P-1008;6;2.291,27;
B-50011;25.07.2023;K-002;P-1007;19;22,17;
B-50012;28.02.2023;K-002;P-1004;2;753,49;0,05
B-50013;08.01.2023;K-002;P-1005;4;30,08;0,05
B-50014;27.02.2023;K-002;P-1004;3;824,87;0,05
B-50015;07.11.2023;K-008;P-1007;8;23,82;0,15
B-50016;28.05.2023;K-002;P-1001;5;665,68;0,10
B-50017;19.02.2023;K-008;P-1006;16;15,73;0,05
B-50018;25.09.2023;K-002;P-1004;1;732,96;
B-50019;05.06.2023;K-008;P-1007;11;19,48;0,15
B-50020;03.04.2023;K-002;P-1010;13;10,68;0,15
B-50021;18.04.2023;K-008;P-1009;5;239,17;0,10
B-50022;2023-12-02;K-002;P-1004;5;862,50;
B-50023;03.04.2023;K-002;P-1006;12;16,24;
B-50024;01.01.2023;K-008;P-1002;2;1.837,13;0,05
B-50025;25.05.2023;K-008;P-1002;4;1.992,13;
B-50026;16.08.2023;K-002;P-1006;9;17,04;
B-50027;24.08.2023;K-002;P-1001;2;644,03;
B-50028;20.03.2023;K-008;;7;11,52;
B-50029;23.10.2023;K-002;P-1010;20;12,38;0,10
B-50030;09.01.2023;K-002;P-1009;6;276,75;0,05
B-50031;24.05.2023;K-008;P-1010;17;11,65;
B-50032;02.09.2023;K-008;P-1002;2;1.910,58;
B-50033;26.05.2023;K-002;P-1001;1;698,41;
B-50034;30.12.2023;K-002;P-1002;3;1.698,68;
B-50035;14.02.2023;K-008;P-1003;4;1.157,31;0,05
B-50036;18.09.2023;K-008;P-1003;2;1.272,37;0,05

B-50001;28.06.2023;K-008;P-1009;4;252,80;
