BestellNr;Datum;KundenNr;ProduktNr;Menge;Einzelpreis;Rabatt
B-50037;27.04.2023;K-006;P-1004;2;799,67;0,05
B-50038;2023-06-09;K-001;P-1002;2;1.842,74;
B-50039;21.05.2023;K-006;P-1004;5;904,22;
B-50040;13.04.2023;K-006;P-1004;6;772,94;0,15
B-50041;16.05.2023;K-001;P-1002;6;1.980,33;0,10
B-50042;08.04.2023;K-010;P-1002;2;1.657,94;0,05
B-50043;10.05.2023;K-001;P-1002;1;1.766,60;0,15
B-50044;01.01.2023;K-010;P-1004;5;774,71;
B-50045;2023-03-02;K-001;P-1005;10;29,20;
B-50046;18.05.2023;K-001;P-1010;4;13,03;0,15
B-50047;03.09.2023;K-001;P-1006;12;14,56;0,10
B-50048;08.02.2023;K-001;P-1006;3;14,18;
B-50049;05.06.2023;K-010;P-1002;4;1.656,26;
B-50050;18.09.2023;K-010;P-1006;22;14,54;
B-50051;30.10.2023;K-010;P-1007;10;21,95;0,15
B-50052;23.08.2023;K-006;P-1006;23;15,67;0,05
B-50053;14.02.2023;K-010;P-1006;9;13,74;0,10
B-50054;12.07.2023;K-010;P-1006;23;16,80;
B-50055;16.06.2023;K-001;P-1004;2;865,06;
B-50056;05.03.2023;K-001;P-1009;1;216,74;
B-50057;26.12.2023;K-006;P-1002;1;1.945,74;0,15
B-50058;23.06.2023;K-006;P-1008;1;1.960,41;0,05
B-50059;30.03.2023;K-010;;5;674,03;0,10
B-50060;07.05.2023;K-010;P-1005;22;29,05;0,05
B-50061;24.08.2023;K-006;P-1006;10;17,21;0,05
B-50062;11.03.2023;K-001;P-1004;2;890,59;0,10
B-50063;21.03.2023;K-001;P-1010;3;11,80;
B-50064;06.09.2023;K-001;P-1003;2;1.048,90;0,05
B-50065;23.06.2023;K-001;P-1009;2;218,05;
B-50066;01.10.2023;K-006;P-1004;4;843,63;
B-50067;12.11.2023;K-006;P-1010;2;11,76;0,10
B-50068;23.10.2023;K-001;P-1010;10;10,84;0,10
B-50069;28.03.2023;K-001;P-1002;2;1.918,78;
B-50070;03.05.2023;K-001;P-1004;4;802,21;0,10
B-50071;27.07.2023;K-010;P-1002;3;1.764,65;
